year,table,row_count,start_date,end_date,complete_year,update_ym
2022,lab_result,299304260,2021-01-01 00:00:00,2022-03-31 00:00:00,0,202207
2021,lab_result,450946698,2021-04-01 00:00:00,2021-12-31 00:00:00,0,202207
,lu_diagnosis,332941,,,,202207
,lu_ndc,495308,,,,202207
,lu_procedure,340926,,,,202207
2007,medical,329179801,2007-01-01 00:00:00,2007-12-31 00:00:00,1,202207
2008,medical,353701347,2008-01-01 00:00:00,2008-12-31 00:00:00,1,202207
2009,medical,389425454,2009-01-01 00:00:00,2009-12-31 00:00:00,1,202207
2010,medical,390029186,2010-01-01 00:00:00,2010-12-31 00:00:00,1,202207
2011,medical,402311802,2011-01-01 00:00:00,2011-12-31 00:00:00,1,202207
2012,medical,430201297,2012-01-01 00:00:00,2012-12-31 00:00:00,1,202207
2013,medical,452369762,2013-01-01 00:00:00,2013-12-31 00:00:00,1,202207
2014,medical,435132834,2014-01-01 00:00:00,2014-12-31 00:00:00,1,202207
2015,medical,485004585,2015-01-01 00:00:00,2015-12-31 00:00:00,1,202207
2016,medical,565706173,2016-01-01 00:00:00,2016-12-31 00:00:00,1,202207
2017,medical,655035136,2017-01-01 00:00:00,2017-12-31 00:00:00,1,202207
2018,medical,695085086,2018-01-01 00:00:00,2018-12-31 00:00:00,1,202207
2019,medical,734288169,2019-01-01 00:00:00,2019-12-31 00:00:00,1,202207
2020,medical,680644299,2020-01-01 00:00:00,2020-12-31 00:00:00,1,202207
2021,medical,784920535,2021-01-01 00:00:00,2021-12-31 00:00:00,1,202207
2022,medical,192877217,2022-01-01 00:00:00,2022-03-31 00:00:00,0,202207
2007,procedure,3701508,,,1,202207
2008,procedure,3707186,,,1,202207
2009,procedure,3674601,,,1,202207
2010,procedure,3455252,,,1,202207
2011,procedure,3355639,,,1,202207
2012,procedure,2605005,,,1,202207
2013,procedure,2654063,,,1,202207
2014,procedure,2516299,,,1,202207
2015,procedure,2807862,,,1,202207
2016,procedure,3474755,,,1,202207
2017,procedure,3870149,,,1,202207
2018,procedure,4015702,,,1,202207
2019,procedure,4203583,,,1,202207
2020,procedure,4212787,,,1,202207
2021,procedure,4332192,,,1,202207
2022,procedure,966444,,,0,202207
,provider_bridge,54562563,,,,202207
,provider,10331553,,,,202207
2021,rx,197434165,2021-04-01 00:00:00,2021-12-31 00:00:00,0,202207
2022,rx,65381191,2022-01-01 00:00:00,2022-03-31 00:00:00,0,202207
